Item,Description,Qty,Price(€),Url,Total
0603 220 R Chip,220Omh Resistors,9,2.07,https://www.aliexpress.com/item/1005002783191633.html,2.07
RGB Leds Anode,RGB Leds Anode,3,--------------,,
Light Dependent Resistor,LDR,1,--------------,,
1005 10k R Chip,10kOmh Resistor,1,1.47,https://www.aliexpress.com/item/1005003297094344.html,1.47
ESP32-C3 Supermini,Dev Board,1,2.83,https://www.aliexpress.com/item/1005009495310442.html,2.83
PCB,PCB,1,2,https://trade.jlcpcb.com/checkout/payMethod/?unionSettleId=a7109309e6c64ee788ef4ed14626ce4d&systemType=order_pcb&orderTypes=order_pcb&calType=PRE_CAL&couponDemo=1&spm=Jlcpcb.Partcart.1002,2
,,,,Shipping,1.99(aliexpress) + 12(PCB)
,,,,Total,22.36


